#Ranger mon chinois : recto de la note, paquet, rang (ordre des nouvelles cartes)
"De quel ton est ce caractère ?<br><br><span class=""hanzi"">富</span><br><br>Choix : 1er ton / 2e ton / 3e ton / 4e ton"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	90
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t4"">rèn</span></div><div style=""font-size:20px"">reconnaître / identifier</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿识 <span class=""t4"">rèn</span><span class=""t0"">shi</span> — connaître (une personne), reconnaître<br>＿为 <span class=""t4"">rèn</span><span class=""t2"">wéi</span> — estimer ; considérer ; penser (opinion)<br>＿真 <span class=""t4"">rèn</span><span class=""t1"">zhēn</span> — sérieux ; consciencieux ; prendre au sérieux</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	91
"Comment se prononce 不 dans ce mot ?<br><br><span class=""hanzi"">不是</span><br><br>Choix : bù / bú"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	92
Placez <b>也</b> au bon endroit :<br><br>我 是 法国人 ， A 他 B 是 C 法国人 D 。	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	93
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">什麼</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	94
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t2"">shí</span></div><div style=""font-size:20px"">connaître ; reconnaître ; savoir ; connaissances</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">认＿ <span class=""t4"">rèn</span><span class=""t0"">shi</span> — connaître (une personne), reconnaître<br>知＿ <span class=""t1"">zhī</span><span class=""t2"">shí</span> — connaissance / savoir<br>意＿ <span class=""t4"">yì</span><span class=""t2"">shí</span> — conscience, prise de conscience ; réaliser</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	95
正在	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	96
"Comment se prononce 一 dans ce mot ?<br><br><span class=""hanzi"">一个</span><br><br>Choix : yī / yí / yì"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	97
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">怎麼</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	98
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t0"">ma</span> / <span class=""t2"">má</span></div><div style=""font-size:20px"">particule interrogative (question fermée oui/non)</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">干＿ <span class=""t4"">gàn</span><span class=""t2"">má</span> — pourquoi ; faire quoi (oral)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	99
"De quel ton est ce caractère ?<br><br><span class=""hanzi"">十</span><br><br>Choix : 1er ton / 2e ton / 3e ton / 4e ton"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	100
"De quel ton est ce caractère ?<br><br><span class=""hanzi"">是</span><br><br>Choix : 1er ton / 2e ton / 3e ton / 4e ton"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	101
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">běi</span> / <span class=""t3"">Běi</span></div><div style=""font-size:20px"">nord - ＿边 = côté nord · ＿京 = Pékin</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿京 <span class=""t3"">Běi</span><span class=""t1"">jīng</span> — Pékin (capitale de la Chine)<br>＿边 <span class=""t3"">běi</span><span class=""t1"">biān</span> — côté nord / au nord<br>西＿ <span class=""t1"">xī</span><span class=""t3"">běi</span> — le Nord-Ouest (Xinjiang, Gansu, Shaanxi, Qinghai, Ningxia)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	102
中文	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	103
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">中國</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	104
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">東西</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	105
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t1"">xiān</span></div><div style=""font-size:20px"">d&#x27;abord, en premier - ＿...然后 = d&#x27;abord...ensuite</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿生 <span class=""t1"">xiān</span><span class=""t0"">sheng</span> — monsieur, mari<br>首＿ <span class=""t3"">shǒu</span><span class=""t1"">xiān</span> — premièrement / tout d&#x27;abord (discours structuré)<br>＿后 <span class=""t1"">xiān</span><span class=""t4"">hòu</span> — successivement, l&#x27;un avant l&#x27;autre</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	106
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">幾</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	107
